normalized_part_identifier,raw_examples,occurrences,fieldbeat_task_ids,zendesk_ticket_ids,example_part_names,current_match_status,current_match_method,suggested_action,manual_dolibarr_product_id,manual_dolibarr_ref,review_notes
750,750,1,2430,,UPS APC,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
C135670,C135670,1,2431,,HANDHELD CONTROL HEXAPOD,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1111,1111,1,2435,,clamps,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
5555,5555,1,2444,,,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1023531,1023531,1,2519,,programed KV ACB,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133308259,45133308259,1,2535,,GEARBOX Y BREAKE,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
RTB889KYCF2,RT-B889KYCF2,1,2553,,,MATCHED,REF_LIKE,Revisar manualmente.,,,
137533,137533,1,2578,249,X-RAY TUBE ASSEMBLY,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
15349581517657,1534958 _1517657,1,2597,,Kit motor y Pcb leaf motoe Drive,AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
43133304800,43133304800,1,2602,,ELECTRON GUN ASSY,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
351372100645,351372100645,1,2629,,Resistor 340 ohm,MATCHED,REF_LIKE,Revisar manualmente.,,,
02870NR1,02870-NR 1,1,2630,,Manilla area de desechos,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1536279,1536279,1,2634,412,Agility MLC Leafbank PSU,MATCHED,REF_LIKE,Revisar manualmente.,,,
1518682,1518682,1,2637,412,REV 04 LMDB PCBS AND FAN,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
MXL2272ZJ0,MXL2272ZJ0,1,2647,224,Nuevo Hardware de Monaco,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133318459,45133318459,1,2658,463,"PCB, Z MOTOR DRIVE CONFIGURED (Z-MD)",MATCHED,REF_LIKE,Revisar manualmente.,,,
351372700256,351372700256,1,2668,497,"THYRISTOR STACK MODULE (SKKT 132/08D, IN 3 POSITIONS)",MATCHED,REF_LIKE,Revisar manualmente.,,,
351372406262,351372406262,1,2668,497,"FUSE LINK, 25A 250V AC LET (FS13G)",MATCHED,REF_LIKE,Revisar manualmente.,,,
451333327662,451333327662,1,2742,,Beam Splitter Mirror Assy,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
451462949000,451462949000,1,2795,8681,flow switch 10M-MS,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1022378351372101453,1022378 / 351372101453,1,2825,8865,"Diode Semikron
Resistor 180 ohm ",MATCHED,REF_LIKE,Revisar manualmente.,,,
1010256,1010256,1,2839,8855,12 bit analogía output pcb,AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
821321900373,821321900373,1,2840,8855,"FUSE LINK, 240V, 80A, U",MATCHED,REF_LIKE,Revisar manualmente.,,,
821321900359,821321900359,1,2842,8866,FUSE 32X6 8AMP,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
157657,157657,1,2865,8916,"PCB ASSY, LEAF MOTOR DRIVE",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
152664615009981024939,1526646-1500998-1024939,1,2885,8943,"PCB LED CONTROL
LED PROJECTOR
LED PROJECTOR FAN",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
C428393094,C428393094,1,2911,,Balanza Mettler Toledo WM6002,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133307849,45133307849,1,2952,,FRU PWB 811,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
107577442,1075774-42,1,3004,,Kit base viales,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
4513315442345133301412,45133154423-45133301412,1,3019,9131,"Filter Element
potentiometer 20K",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1539679,1539679,1,3024,9151,"MRT 14791, GENERAL FKP",MATCHED,REF_LIKE,Revisar manualmente.,,,
1528403,1528403,1,3031,9167,BEAM MU DOSE MODULE,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
AEA006,AEA006,1,3054,,Cable de comunicación R485.,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1528220,1528220,1,3068,,Camera CCU PCB,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1552668,1552668,1,3091,9176,Z Motor - ElektroCraft,MATCHED,REF_LIKE,Revisar manualmente.,,,
4513316442301,4513316442301,1,3144,,5 Micron Filter CoS,MATCHED,REF_LIKE,Revisar manualmente.,,,
451331644230M,451331644230M,1,3159,,FILTER ELEMENT 5 MICRON,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
242208610594,2422 086 10594,1,3191,9363,Fuse 32V 20A,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
15349581024201,1534958-1024201,1,3215,,"Kit Spare leaf MO
Reflector ",MATCHED,REF_LIKE,Revisar manualmente.,,,
SHA12369,SHA12-369,1,3228,9410,Magnetic Contactor,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1564279,1564279,1,3238,9418,PCB ASSY LED CONTROL,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1572432,1572432,1,3250,9407,"FRU, PROGRAMMED, LCU",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
45133326702,45133326702,1,3271,9464,PCB RTU,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1565345,1565345,1,3290,,DLG Slide Brake,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1565344,1565344,1,3290,,Diaphragm Brake,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
15295201527814,1529520-1527814,1,3349,8824,"Slitless Fligth Tube 
PSU Ion Pump",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
2179204020870,2179204 // 020870,1,3355,,MANILLA ROBOT / SENSOR IR CARRUSEL,AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
117482,117482,1,3357,9623,"PROG ASSY, KV DCB",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
MG5193,MG5193,1,3375,9577,Magnetròn,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
LMD45133909025ME1008587,LMD. 45133909025. ME 1008587,1,3392,,"Leaf motor drive.

Módulo electrónico MLC",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
1517098,1517098,1,3394,9680,ION PUMP - SPARE,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1567798,1567798,1,3400,,DOS A,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
LT05035,LT05035,1,3452,9790,"Ampolleta Range Finder 13,5 v/50 w",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
CX1551G,CX1551G,1,3453,9781,Thyratron,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
BJ485310100,BJ4853.101.00,1,3463,9810,HT Cable,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
XXXXX,xxxxx,1,3500,9851,kit de ruby,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1571202,1571202,1,3535,9901,MRT 14791 GENERAL FKP,MATCHED,REF_LIKE,Revisar manualmente.,,,
1530025,1530025,1,3565,,Switch Linksys LGS318,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
41133411787,41133411787,1,3575,9916,CLUTCH ASSEMBLY,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1547676,1547676,1,3600,9970,"screen assy, head",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
TK204UK,TK204UK,1,3620,9945,KVM DVI,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
BARCODEGUN,Barcode Gun.,1,3642,,2483004,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1540352,1540352,1,3652,9918,CABLE KIT (+VE ANODE),NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1540356,1540356,1,3652,9918,CABLE KIT (-VE CATHODE),NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
517657,517657,1,3686,10081,"kit, spares, leaf motor ",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
10108481564169,1010848-1564169,1,3693,10088,"Mirror Assembly optics
kit, luminus Proj. Assy and PCB LED Control",AMBIGUOUS_MATCH,REF_LIKE,Multiples candidatos Dolibarr. Revisar y agregar alias manual si corresponde.,,,
1567819,1567819,1,3709,10115,"PROG, PCB ASSY, DOSE B",NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
1541746,1541746,1,3727,10151,Handheld  conteoller,NO_MATCH,NONE,Sin match en Dolibarr. Buscar producto correcto y agregar alias manual.,,,
